CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,fragrance_family,all_descriptors
285977-85-7,"1h-indende-2-methanol, 2,3-dihydro-2,5-dimethyl-",floral,muguet,aldehydic,floral,"['floral', 'muguet', 'aldehydic']"
95-13-6,1h-indene,animal like,terpenic,balsamic,animal like,"['animal like', 'terpenic', 'balsamic']"
60899-29-8,"1h-indene, 1-ethyl-2,3-dihydro-1,3,3-trimethyl-",musk like,floral,woody,musk like,"['musk like', 'floral', 'woody']"
351343-77-6,"1h-indene, 2,3,3a,4,5,7a-hexahydro-1,1,2,3,3-pentamethyl-6-(2-propenyl)-",woody,amber,dry,woody,"['woody', 'amber', 'dry']"
1203-17-4,"1h-indene, 2,3-dihydro-1,1,2,3,3-pentamethyl-",musk like,floral,woody,musk like,"['musk like', 'floral', 'woody']"
67860-00-8,"1h-indole,3-heptanol,eta-1h-indol-3-yl-a,a,e-trimethyl ,8-bis-(2,3-dihydroindol)-2,6-
dimethyl-2-octanol",animal like,indolic,medicinal,animal like,"['animal like', 'indolic', 'medicinal']"
1565-76-0,1-menthyl methylether,herbal,minty,fruity,herbal,"['herbal', 'minty', 'fruity']"
4747-07-3,1-methoxyhexane,floral,sweet,lavender,floral,"['floral', 'sweet', 'lavender']"
94291-50-6,1-methoxyhexane-3-thiol,herbal,green,citrus,herbal,"['herbal', 'green', 'citrus']"
72183-75-6,1-methyl-2-(1-methylpropyl)cyclohexyl acetate,fruity,tropical-fruit,sweet,fruity,"['fruity', 'tropical-fruit', 'sweet']"
3008-43-3,"1-methyl-2,3-cyclohexadione",gourmand,coffee,caramel,gourmand,"['gourmand', 'coffee', 'caramel']"
215231-33-7,1-methyl-3-(2-methylpropyl)cyclohexan-1-ol,floral,muguet,citrus,floral,"['floral', 'muguet', 'citrus']"
52474-60-9,1-methyl-3-(4-methyl-3-pentenyl)cyclohex-3-ene-1-carbaldehyde,ozonic,fresh,aldehydic,ozonic,"['ozonic', 'fresh', 'aldehydic']"
1076-56-8,1-methyl-3-methoxy-4-isopropylbenzene,woody,smoky,medicinal,woody,"['woody', 'smoky', 'medicinal']"
10198-23-9,1-methyl-4-(1-methylvinyl)cyclohexyl acetate,floral,citrus,dry,floral,"['floral', 'citrus', 'dry']"
139539-67-6,"1-methyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-2-oxabicyclo[2.2.2]octane",fruity,berry,powdery,fruity,"['fruity', 'berry', 'powdery']"
