CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,fragrance_family,all_descriptors
1838-88-6,2-methylpent-2-en-1-yl acetate,fruity,pear,melon,fruity,"['fruity', 'pear', 'melon']"
123-15-9,2-methylpentanal,fruity,fresh,herbal,fruity,"['fruity', 'fresh', 'herbal']"
50607-64-2,2-methylpentanal-methyl anthranilate (schiff base),green,citrus,floral,green,"['green', 'citrus', 'floral']"
90397-38-9,2-methylpentyl 2-methylvalerate,fruity,green,pear,fruity,"['fruity', 'green', 'pear']"
2445-67-2,2-methylpropyl 2-methylbutyrate,fruity,sweet,berry,fruity,"['fruity', 'sweet', 'berry']"
589-59-3,2-methylpropyl 3-methylbutyrate,fruity,apple,raspberry,fruity,"['fruity', 'apple', 'raspberry']"
5461-06-3,2-methylpropyl octanoate,fruity,green,oily,fruity,"['fruity', 'green', 'oily']"
10588-10-0,2-methylpropyl pentanoate,fruity,sweet,tropical-fruit,fruity,"['fruity', 'sweet', 'tropical-fruit']"
109-08-0,2-methylpyrazine,food like,nutty,earthy,food like,"['food like', 'nutty', 'earthy']"
3188-00-9,2-methyltetrahydrofuran-3-one,gourmand,nutty,caramel,gourmand,"['gourmand', 'nutty', 'caramel']"
80-59-1,2-methyl-trans-2-butenoic acid,spicy,woody,caramel,spicy,"['spicy', 'woody', 'caramel']"
110-41-8,2-methylundecanal,aldehydic,orange,citrus,aldehydic,"['aldehydic', 'orange', 'citrus']"
68141-17-3,2-methylundecanal dimethyl acetal,aldehydic,lemon,green,aldehydic,"['aldehydic', 'lemon', 'green']"
24323-25-9,2-methylundecanoic acid,fruity,waxy,creamy,fruity,"['fruity', 'waxy', 'creamy']"
97-61-0,2-methylvaleric acid,acidic,sour,cheesy,acidic,"['acidic', 'sour', 'cheesy']"
127459-79-4,"2-naphthalenecarboxaldehyde, 5,6,7,8-tetrahydro-3,5,5,6,7,8,8-heptamethyl-",musk like,earthy,floral,musk like,"['musk like', 'earthy', 'floral']"
821-55-6,2-nonanone,fruity,floral,herbal,fruity,"['fruity', 'floral', 'herbal']"
22104-79-6,2-nonen-1-ol,fruity,oily,melon,fruity,"['fruity', 'oily', 'melon']"
2463-53-8,2-nonenal,green,cucumber,oily,green,"['green', 'cucumber', 'oily']"
21963-26-8,2-nonenoic acid gamma-lactone,fruity,minty,coconut,fruity,"['fruity', 'minty', 'coconut']"
13257-44-8,2-nonyn-1-al dimethylacetal,green,floral,violet,green,"['green', 'floral', 'violet']"
123-96-6,2-octanol,green,floral,leafy,green,"['green', 'floral', 'leafy']"
111-13-7,2-octanone,green,mushroom,banana,green,"['green', 'mushroom', 'banana']"
4643-27-0,2-octen-4-one,fruity,sweet,tropical-fruit,fruity,"['fruity', 'sweet', 'tropical-fruit']"
2363-89-5,2-octenal,aldehydic,green,herbal,aldehydic,"['aldehydic', 'green', 'herbal']"
60308-76-1,"2-octenoic acid, 4-ethyl-, (2e)-",animal like,leathery,warm,animal like,"['animal like', 'leathery', 'warm']"
2345-28-0,2-pentadecanone,floral,oily,fresh,floral,"['floral', 'oily', 'fresh']"
6032-29-7,2-pentanol,gourmand,fermented,fruity,gourmand,"['gourmand', 'fermented', 'fruity']"
107-87-9,2-pentanone,fruity,sweet,fermented,fruity,"['fruity', 'sweet', 'fermented']"
21016-46-6,"2-pentenoic acid, 2,4-dimethyl-, ethyl ester, (2e)-",herbal,fruity,green,herbal,"['herbal', 'fruity', 'green']"
84560-00-9,2-pentylcyclopentan-1-ol,floral,magnolia,fruity,floral,"['floral', 'magnolia', 'fruity']"
4819-67-4,2-pentylcyclopentan-1-one,floral,jasmin,green,floral,"['floral', 'jasmin', 'green']"
3777-69-3,2-pentylfuran,fruity,green,cocoa,fruity,"['fruity', 'green', 'cocoa']"
68141-20-8,2-phenethyl crotonate,floral,rose,neutral,floral,"['floral', 'rose', 'neutral']"
122-99-6,2-phenoxyethanol,floral,rose,spicy,floral,"['floral', 'rose', 'spicy']"
103-60-6,2-phenoxyethyl isobutyrate,floral,fruity,rose,floral,"['floral', 'fruity', 'rose']"
23495-12-7,2-phenoxyethyl propionate,fruity,balsamic,myrrh,fruity,"['fruity', 'balsamic', 'myrrh']"
4411-89-6,2-phenyl-2-butenal,gourmand,honey,rose,gourmand,"['gourmand', 'honey', 'rose']"
617-94-7,2-phenyl-2-propanol,balsamic,green,floral,balsamic,"['balsamic', 'green', 'floral']"
67662-96-8,2-phenylethyl pivalate,floral,rose,fruity,floral,"['floral', 'rose', 'fruity']"
7460-74-4,2-phenylethyl valerate,floral,fruity,rose,floral,"['floral', 'fruity', 'rose']"
3508-98-3,2-phenylhexanenitrile,herbal,balsamic,green,herbal,"['herbal', 'balsamic', 'green']"
93-53-8,2-phenylpropionaldehyde,green,floral,rose,green,"['green', 'floral', 'rose']"
90-87-9,2-phenylpropionaldehyde dimethyl acetal,floral,green,watery,floral,"['floral', 'green', 'watery']"
2520-60-7,2-prenylcyclopentanone,floral,jasmin,warm,floral,"['floral', 'jasmin', 'warm']"
90530-04-4,"2-propanol, reaction products with boron trifluoride and 5-ethylidenebicyclo[2.2.1]hept-
2-ene",herbal,citrus,liquorice,herbal,"['herbal', 'citrus', 'liquorice']"
56138-10-4,"2-propen-1-ol, 2-methyl-3-(4-methylphenyl)-, (2e)-",floral,anisic,linden,floral,"['floral', 'anisic', 'linden']"
820975-49-3,"2-propenoic acid, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methylpropyl ester",musk like,fruity,pear,musk like,"['musk like', 'fruity', 'pear']"
208041-98-9,2-propyl heptanenitrile,floral,fruity,jasmin,floral,"['floral', 'fruity', 'jasmin']"
699-02-5,2-p-tolylethanol,floral,rose,cyclamen,floral,"['floral', 'rose', 'cyclamen']"
14765-30-1,2-sec-butylcyclohexanone,herbal,minty,camphoraceous,herbal,"['herbal', 'minty', 'camphoraceous']"
13491-79-7,2-tert-butylcyclohexanol,herbal,camphoraceous,minty,herbal,"['herbal', 'camphoraceous', 'minty']"
1728-46-7,2-tert-butylcyclohexanone,woody,camphoraceous,patchouli,woody,"['woody', 'camphoraceous', 'patchouli']"
88-41-5,2-tert-butylcyclohexyl acetate,fruity,apple,woody,fruity,"['fruity', 'apple', 'woody']"
21662-13-5,2-trans-6-cis-dodecadienal,citrus,green,fruity,citrus,"['citrus', 'green', 'fruity']"
56767-18-1,2-trans-6-trans-octadienal,aldehydic,citrus,green,aldehydic,"['aldehydic', 'citrus', 'green']"
20407-84-5,2-trans-dodecenal,aldehydic,citrus,coriander,aldehydic,"['aldehydic', 'citrus', 'coriander']"
593-08-8,2-tridecanone,herbal,fruity,floral,herbal,"['herbal', 'fruity', 'floral']"
7774-82-5,2-tridecenal,aldehydic,mandarin,orange,aldehydic,"['aldehydic', 'mandarin', 'orange']"
1653-30-1,2-undecanol,fruity,oily,peach,fruity,"['fruity', 'oily', 'peach']"
112-12-9,2-undecanone,herbal,floral,citrus,herbal,"['herbal', 'floral', 'citrus']"
2463-77-6,2-undecenal,citrus,green,fruity,citrus,"['citrus', 'green', 'fruity']"
22629-48-7,2-undecenenitrile,green,citrus,floral,green,"['green', 'citrus', 'floral']"
31906-04-4,3 and 4-(4-hydroxy-4-methylpentyl)-3-cyclohexene-1-carboxaldehyde,floral,muguet,sweet,floral,"['floral', 'muguet', 'sweet']"
1577-18-0,"3-hexenoic acid, (3e)-",food like,cheesy,fruity,food like,"['food like', 'cheesy', 'fruity']"
85508-08-3,"3-pentenoic acid, 2-methyl-, hexyl ester",fruity,tropical-fruit,sweet,fruity,"['fruity', 'tropical-fruit', 'sweet']"
40942-73-2,3-(2-oxopropyl)-2-pentylcyclopentanone,floral,jasmin,fresh,floral,"['floral', 'jasmin', 'fresh']"
68804-00-2,"3-(4,7,7-trimethylbicyclo[4.1.0]hept-3-yl)acrylonitrile",floral,rose,fresh,floral,"['floral', 'rose', 'fresh']"
68804-02-4,"3-(4,7,7-trimethylbicyclo[4.1.0]hept-3-ylidene)propiononitrile",floral,rose,fresh,floral,"['floral', 'rose', 'fresh']"
51414-25-6,3-(4-hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,floral,muguet,aldehydic,floral,"['floral', 'muguet', 'aldehydic']"
15760-18-6,3-(4-methyl-3-cyclohexenyl)butanol,floral,rose,muguet,floral,"['floral', 'rose', 'muguet']"
68084-04-8,3-(4-methyl-3-pentenyl)-3-cyclohexene-1-carbonitrile,marine,cooling,fresh,marine,"['marine', 'cooling', 'fresh']"
52475-89-5,3-(4-methyl-3-pentenyl)cyclohex-3-ene-1-carbaldehyde,aldehydic,fresh,green,aldehydic,"['aldehydic', 'fresh', 'green']"
6819-19-8,3-(4-methylcyclohex-3-enyl)-3-butenyl acetate,floral,herbal,green,floral,"['floral', 'herbal', 'green']"
3407-42-9,"3-(5,5,6-trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",woody,soft,sweet,woody,"['woody', 'soft', 'sweet']"
53253-09-1,3-(cis-3-hexenyl)-2-cyclopentenone,floral,citrus,jasmin,floral,"['floral', 'citrus', 'jasmin']"
142653-61-0,3-(cis-3-hexenyloxy)propanenitrile,green,floral,violet,green,"['green', 'floral', 'violet']"
59191-78-5,3-(hydroxymethyl)-2-octanone,herbal,sweet,lavender,herbal,"['herbal', 'sweet', 'lavender']"
67801-33-6,3-(hydroxymethyl)nonan-2-one,herbal,lavender,sweet,herbal,"['herbal', 'lavender', 'sweet']"
51755-66-9,3-(methylthio)-1-hexanol,fruity,pineapple,mango,fruity,"['fruity', 'pineapple', 'mango']"
51755-85-2,3-(methylthio)hexyl acetate,sulfurous,garlic,onion,sulfurous,"['sulfurous', 'garlic', 'onion']"
505-10-2,3-(methylthio)propanol,sulfurous,onion,garlic,sulfurous,"['sulfurous', 'onion', 'garlic']"
3268-49-3,3-(methylthio)propionaldehyde,food like,vegetable,fatty,food like,"['food like', 'vegetable', 'fatty']"
62518-65-4,3-(m-tert-butylphenyl)-2-methylpropionaldehyde,floral,muguet,sweet,floral,"['floral', 'muguet', 'sweet']"
67634-14-4,"3-(o-ethylphenyl)-2,2-dimethylpropionaldehyde",floral,ozonic,aldehydic,floral,"['floral', 'ozonic', 'aldehydic']"
130066-44-3,3(or 4)-(4-hydroxy-4-methylpentyl)-3-cyclohexene-1-carboxaldehyde,floral,muguet,sweet,floral,"['floral', 'muguet', 'sweet']"
7775-00-0,3-(p-isopropylphenyl)propionaldehyde,floral,muguet,lily,floral,"['floral', 'muguet', 'lily']"
56107-04-1,3-(p-tert-butylphenyl)-2-methylpropanol,floral,lily,fresh,floral,"['floral', 'lily', 'fresh']"
76649-26-8,"3,6-nonadien-1-ol, 1-acetate",green,fresh,floral,green,"['green', 'fresh', 'floral']"
134769-33-8,"3,12-tridecadienenitrile",citrus,mandarin,orange,citrus,"['citrus', 'mandarin', 'orange']"
124071-42-7,"3,12-tridecadienenitrile, (3e)-",citrus,mandarin,orange,citrus,"['citrus', 'mandarin', 'orange']"
36306-87-3,"3,3,5,5-tetramethyl-4-ethoxyvinylcyclohexanone",woody,amber,tobacco,woody,"['woody', 'amber', 'tobacco like']"
67859-96-5,"3,3,5-trimethylcyclohexyl acetate",green,floral,herbal,green,"['green', 'floral', 'herbal']"
67583-77-1,"3,3,5-trimethylcyclohexyl ethyl ether",green,herbal,watery,green,"['green', 'herbal', 'watery']"
107898-54-4,"3,3-dimethyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-4-penten-2-ol",woody,sandalwood,floral,woody,"['woody', 'sandalwood', 'floral']"
72429-08-4,"3,4,4a,5,8,8a(or 3,4,4a,7,8,8a)-hexahydro-3,3,6,7-tetramethyl-1h-2-benzopyran",citrus,fresh,grapefruit,citrus,"['citrus', 'fresh', 'grapefruit']"
41723-98-2,"3,4,4a,5,8,8a-hexahydro-3',6-dimethylspiro[1,4-methanonaphtalene-2(1h),2'-oxirane]",fruity,rhubarb,woody,fruity,"['fruity', 'rhubarb', 'woody']"
41816-03-9,"3,4,4a,5,8,8a-hexahydro-3',7-dimethylspiro[1,4-methanonaphthalene-2(1h),2'-oxirane]",fruity,woody,spicy,fruity,"['fruity', 'woody', 'spicy']"
86115-11-9,"3,4,5,6,6-pentamethylhept-3-en-2-one",woody,violet,cedarwood,woody,"['woody', 'violet', 'cedarwood']"
87118-95-4,"3,4,5,6,6-pentamethylheptan-2-ol",woody,amber,vetiver,woody,"['woody', 'amber', 'vetiver']"
13494-06-9,"3,4-dimethyl-1,2-cyclopentadione",gourmand,caramel,licorice,gourmand,"['gourmand', 'caramel', 'licorice']"
632-15-5,"3,4-dimethylthiophene",sulfurous,roasted,onion,sulfurous,"['sulfurous', 'roasted', 'onion']"
4437-51-8,"3,4-hexanedione",gourmand,buttery,caramel,gourmand,"['gourmand', 'buttery', 'caramel']"
95-65-8,"3,4-xylenol",smoky,roasted,earthy,smoky,"['smoky', 'roasted', 'earthy']"
3452-97-9,"3,5,5-trimethyl-1-hexanol",herbal,green,geranium,herbal,"['herbal', 'green', 'geranium']"
116-02-9,"3,5,5-trimethylcyclohexanol",minty,cooling,earthy,minty,"['minty', 'cooling', 'earthy']"
5435-64-3,"3,5,5-trimethylhexanal",green,floral,aldehydic,green,"['green', 'floral', 'aldehydic']"
58430-94-7,"3,5,5-trimethylhexyl acetate",citrus,green,herbal,citrus,"['citrus', 'green', 'herbal']"
81787-06-6,"3,5,6,6-tetramethyl-4-methyleneheptan-2-ol",woody,amber,dry,woody,"['woody', 'amber', 'dry']"
81786-75-6,"3,5,6,6-tetramethyl-4-methyleneheptan-2-one",woody,violet,cedarwood,woody,"['woody', 'violet', 'cedarwood']"
65416-17-3,"3,5-diethyl-2,6-dimethylcyclohex-2-en-1-one",herbal,warm,woody,herbal,"['herbal', 'warm', 'woody']"
4179-19-5,"3,5-dimethoxytoluene",earthy,nutty,sweet,earthy,"['earthy', 'nutty', 'sweet']"
13494-07-0,"3,5-dimethyl-1,2-cyclopentadione",gourmand,toffee,burnt,gourmand,"['gourmand', 'toffee', 'burnt']"
68039-48-5,"3,5-dimethylcyclohex-3-ene-1-carbaldehyde",green,grassy,citrus,green,"['green', 'grassy', 'citrus']"
67634-25-7,"3,5-dimethylcyclohex-3-ene-1-methyl acetate",fruity,citrus,grapefruit,fruity,"['fruity', 'citrus', 'grapefruit']"
67634-16-6,"3,5-dimethylcyclohexene-1-methanol",floral,herbal,green,floral,"['floral', 'herbal', 'green']"
68213-86-5,"3,5-dimethylcyclohexylmethyl acetate",floral,herbal,woody,floral,"['floral', 'herbal', 'woody']"
108-68-9,"3,5-dimethylphenol",food like,coffee,smoky,food like,"['food like', 'coffee', 'smoky']"
68039-40-7,"3,6-dihydro-2,4-dimethyl-6-phenyl-2h-pyran",floral,rose,geranium,floral,"['floral', 'rose', 'geranium']"
68039-41-8,"3,6-dihydro-4,6-dimethyl-2-phenyl-2h-pyran",herbal,green,leafy,herbal,"['herbal', 'green', 'leafy']"
60335-71-9,"3,6-dihydro-4-methyl-2-phenyl-2h-pyran",green,floral,rose,green,"['green', 'floral', 'rose']"
67801-65-4,"3,6-dimethyl-3-cyclohexene-1-carboxaldehyde",green,grassy,citrus,green,"['green', 'grassy', 'citrus']"
60763-42-0,"3,6-dimethyl-3-octanyl acetate",floral,sweet,fruity,floral,"['floral', 'sweet', 'fruity']"
76649-25-7,"3,6-nonadien-1-ol",green,fresh,violet,green,"['green', 'fresh', 'violet']"
6753-98-6,"3,7,10-humulatriene",woody,balsamic,warm,woody,"['woody', 'balsamic', 'warm']"
13877-91-3,"3,7-dimethyl-1,3,6-octatriene",herbal,metallic,citrus,herbal,"['herbal', 'metallic', 'citrus']"
10339-55-6,"3,7-dimethyl-1,6-nonadien-3-ol (ethyllinalool)",floral,fresh,lavender,floral,"['floral', 'fresh', 'lavender']"
61931-80-4,"3,7-dimethyl-1,6-nonadien-3-yl acetate",floral,citrus,fresh,floral,"['floral', 'citrus', 'fresh']"
106-21-8,"3,7-dimethyl-1-octanol",floral,rose,citrus,floral,"['floral', 'rose', 'citrus']"
20780-49-8,"3,7-dimethyl-1-octanyl acetate",fruity,sweet,honey,fruity,"['fruity', 'sweet', 'honey']"
61792-11-8,"3,7-dimethyl-2,6-nonadienenitrile",citrus,lemon,green,citrus,"['citrus', 'lemon', 'green']"
624-15-7,"3,7-dimethyl-2,6-octadien-1-ol",floral,rose,geranium,floral,"['floral', 'rose', 'geranium']"
22418-66-2,"3,7-dimethyl-2-methylenocta-6-enal",citrus,fresh,floral,citrus,"['citrus', 'fresh', 'floral']"
55722-59-3,"3,7-dimethyl-3,6-octadienal",citrus,lemon,rose,citrus,"['citrus', 'lemon', 'rose']"
18479-54-4,"3,7-dimethyl-4,6-octadien-3-ol",floral,muguet,fresh,floral,"['floral', 'muguet', 'fresh']"
502-47-6,"3,7-dimethyl-6-octenoic acid",green,oily,floral,green,"['green', 'oily', 'floral']"
41890-92-0,"3,7-dimethyl-7-methoxyoctan-2-ol",woody,soft,sandalwood,woody,"['woody', 'soft', 'sandalwood']"
18479-49-7,"3,7-dimethyloct-1-en-3-ol",herbal,floral,lavender,herbal,"['herbal', 'floral', 'lavender']"
18479-51-1,"3,7-dimethyloct-6-en-3-ol",floral,citrus,woody,floral,"['floral', 'citrus', 'woody']"
67601-05-2,"3,7-dimethyloct-6-enyl acetate",citrus,fruity,geranium,citrus,"['citrus', 'fruity', 'geranium']"
141-25-3,"3,7-dimethyloct-7-en-1-ol",floral,rose,geranium,floral,"['floral', 'rose', 'geranium']"
22460-95-3,"3,7-dimethyloct-7-ene-1,6-diol",floral,rose,geranium,floral,"['floral', 'rose', 'geranium']"
40188-41-8,"3,7-dimethyloctanenitrile",citrus,lemon,aldehydic,citrus,"['citrus', 'lemon', 'aldehydic']"
22810-10-2,"3,7-dimethyloctyl ethyl ether",floral,rose,citrus,floral,"['floral', 'rose', 'citrus']"
831213-72-0,"3,9-dimethyl-6-(1-methylethyl)-1,4-dioxaspiro[4.5]decan-2-one",minty,green,herbal,minty,"['minty', 'green', 'herbal']"
1315250-65-7,3-[cis-4-(2-methylpropyl)cyclohexyl]propanal,floral,muguet,aldehydic,floral,"['floral', 'muguet', 'aldehydic']"
1315250-67-9,3-[trans-4-(2-methylpropyl)cyclohexyl]propanal,floral,muguet,aldehydic,floral,"['floral', 'muguet', 'aldehydic']"
7158-25-0,"3a,4,4a,5,8,8a,9,9a-octahydro-4,9:5,8-dimethano-1h-benz[f]indene",woody,balsamic,patchouli,woody,"['woody', 'balsamic', 'patchouli']"
94248-21-2,"3a,4,5,6,7,7a-hexahydro-2,6(or 3,6)-dimethyl-4,7-methano-1h-inden-5-ol",aromatic,fresh,camphoraceous,aromatic,"['aromatic', 'fresh', 'camphoraceous']"
67634-20-2,"3a,4,5,6,7,7a-hexahydro-4,7-methano-1h-inden-5-yl isobutyrate",fruity,peach,pineapple,fruity,"['fruity', 'peach', 'pineapple']"
68039-45-2,"3a,4,5,6,7,7a-hexahydro-4,7-methano-1h-inden-5-yl pivalate",herbal,floral,ozonic,herbal,"['herbal', 'floral', 'ozonic']"
68039-39-4,"3a,4,5,6,7,7a-hexahydro-4,7-methano-1h-inden-6-yl isobutyrate",fruity,pineapple,peach,fruity,"['fruity', 'pineapple', 'peach']"
68039-44-1,"3a,4,5,6,7,7a-hexahydro-4,7-methano-1h-inden-6-yl pivalate",fruity,peach,apricot,fruity,"['fruity', 'peach', 'apricot']"
68912-13-0,"3a,4,5,6,7,7a-hexahydro-4,7-methano-1h-indenyl propionate (mixture of isomers)",fruity,floral,pear,fruity,"['fruity', 'floral', 'pear']"
53018-24-9,"3a,4,5,6,7,7a-hexahydro-5-methoxy-4,7-methano-1h-indene",herbal,lavender,green,herbal,"['herbal', 'lavender', 'green']"
27135-90-6,"3a,4,5,6,7,7a-hexahydromethoxy-4,7-methano-1h-indene (isomer unspecified)",green,nasturtium,hyacinth,green,"['green', 'nasturtium', 'hyacinth']"
58096-47-2,"3a,7-methano-3ah-cyclopentacycloocten-3-ol, decahydro-1,1,7-trimethyl-, formate",woody,cedarwood,dry,woody,"['woody', 'cedarwood', 'dry']"
10599-70-9,"3-acetyl-2,5-dimethylfuran",gourmand,coffee,nutty,gourmand,"['gourmand', 'coffee', 'nutty']"
136954-25-1,3-acetylmercaptohexyl acetate,gourmand,sulfurous,tropical-fruit,gourmand,"['gourmand', 'sulfurous', 'tropical-fruit']"
350-03-8,3-acetylpyridine,food like,roasted,waxy,food like,"['food like', 'roasted', 'waxy']"
60466-73-1,3-benzyltetrahydropyran,citrus,rhubarb,green,citrus,"['citrus', 'rhubarb', 'green']"
54992-90-4,"3-buten-2-one, 4-(2,2,3,6-tetramethylcyclohexyl)-",woody,orris,amber,woody,"['woody', 'orris', 'amber']"
54992-91-5,"3-buten-2-one, 4-[2,5,6,6-tetramethyl-1(or 2)-cyclohexen-1-yl]-",floral,violet,woody,floral,"['floral', 'violet', 'woody']"
551-08-6,3-butylidenephthalide,herbal,celery,green,herbal,"['herbal', 'celery', 'green']"
66848-40-6,"3-cyclohexene-1-carbonitrile, 3,5(2,4)-dimethyl-",woody,warm,green,woody,"['woody', 'warm', 'green']"
21690-43-7,"3-cyclohexene-1-carbonitrile, 4-(4-methyl-3-pentenyl)-",ozonic,fresh,citrus,ozonic,"['ozonic', 'fresh', 'citrus']"
815580-59-7,"3-cyclohexene-1-carboxylic acid, 2,6,6-trimethyl-, methyl ester",floral,rose,fruity,floral,"['floral', 'rose', 'fruity']"
426218-78-2,"3-cyclohexene-1-methanol, 3(or 4)-methyl-1-(2,2,3-trimethyl-3-cyclopenten-1-yl)-,
acid-isomerized",fruity,fresh,cassis,fruity,"['fruity', 'fresh', 'cassis']"
166432-53-7,"3-cyclopentene-1-butanal, alpha,2,2,3-tetramethyl-.gamma.-methylene",woody,sandalwood,dry,woody,"['woody', 'sandalwood', 'dry']"
10519-33-2,3-decen-2-one,green,oily,fruity,green,"['green', 'oily', 'fruity']"
68083-57-8,3-dodecenal,citrus,mandarin,orange,citrus,"['citrus', 'mandarin', 'orange']"
13360-65-1,"3-ethyl-2,5-dimethylpyrazine",food like,nutty,green,food like,"['food like', 'nutty', 'green']"
13925-07-0,"3-ethyl-2,6-dimethylpyrazine",food like,peanut,nutty,food like,"['food like', 'peanut', 'nutty']"
21835-01-8,3-ethyl-2-hydroxy-2-cyclopenten-1-one,gourmand,coffee,caramel,gourmand,"['gourmand', 'coffee', 'caramel']"
54491-17-7,3-ethylhexahydro-2(3h)-benzofuranone,tobacco like,hay,warm,tobacco like,"['tobacco like', 'hay', 'warm']"
620-17-7,3-ethylphenol,food like,coffee,phenolic,food like,"['food like', 'coffee', 'phenolic']"
536-78-7,3-ethylpyridine,green,leathery,tobacco,green,"['green', 'leathery', 'tobacco like']"
106-35-4,3-heptanone,fruity,green,oily,fruity,"['fruity', 'green', 'oily']"
589-38-8,3-hexanone,fruity,sweet,grape,fruity,"['fruity', 'sweet', 'grape']"
86460-54-0,"3-hexanone, 2-methyl-, oxime",green,fruity,apple,green,"['green', 'fruity', 'apple']"
851768-51-9,"3-hexanone, 5-mercapto-5-methyl-",fruity,grape,cassis,fruity,"['fruity', 'grape', 'cassis']"
544-12-7,3-hexen-1-ol (isomer unspecified),green,fresh,floral,green,"['green', 'fresh', 'floral']"
4440-65-7,3-hexenal,green,fruity,floral,green,"['green', 'fruity', 'floral']"
888744-18-1,"3-hexene, 1-(2-buten-1-yloxy)-, (3z)-",green,fresh,floral,green,"['green', 'fresh', 'floral']"
292605-05-1,"3-hexene, 1-[(2-methyl-2-propenyl)oxy]- (3z)-",green,fresh,floral,green,"['green', 'fresh', 'floral']"
10094-41-4,3-hexenyl 2-methylbutanoate,fruity,apple,green,fruity,"['fruity', 'apple', 'green']"
68133-76-6,3-hexenyl 2-oxopropionate,green,oily,melon,green,"['green', 'oily', 'melon']"
42436-07-7,3-hexenyl phenylacetate,green,floral,honey,green,"['green', 'floral', 'honey']"
18436-37-8,3-hexyldihydrofuran-2(3h)-one,fruity,floral,coconut,fruity,"['fruity', 'floral', 'coconut']"
67633-97-0,3-mercapto-2-pentanone,sulfurous,onion,vegetable,sulfurous,"['sulfurous', 'onion', 'vegetable']"
34300-94-2,3-mercapto-3-methyl-1-butanol,food like,roasted,sweet,food like,"['food like', 'roasted', 'sweet']"
75832-79-0,3-mercapto-4-methyl-2-pentanone,fruity,blackcurrant,berry,fruity,"['fruity', 'blackcurrant', 'berry']"
51755-83-0,3-mercaptohexanol,fruity,tropical-fruit,citrus,fruity,"['fruity', 'tropical-fruit', 'citrus']"
136954-20-6,3-mercaptohexyl acetate,fruity,tropical-fruit,floral,fruity,"['fruity', 'tropical-fruit', 'floral']"
3209-13-0,3-methoxy-5-cresol,woody,mossy,hay,woody,"['woody', 'mossy', 'hay']"
541-91-3,3-methyl-1-cyclopentadecanone,musk like,powdery,animal like,musk like,"['musk like', 'powdery', 'animal like']"
1128-08-1,3-methyl-2-(n-pentanyl)-2-cyclopenten-1-one,floral,jasmin,myrrh,floral,"['floral', 'jasmin', 'myrrh']"
68922-13-4,3-methyl-2-(pentyloxy)cyclopent-2-en-1-one,floral,jasmin,green,floral,"['floral', 'jasmin', 'green']"
113486-29-6,"3-methyl-2,4-nonedione",fruity,caramel,burnt,fruity,"['fruity', 'caramel', 'burnt']"
556-82-1,3-methyl-2-buten-1-ol,green,fruity,lavender,green,"['green', 'fruity', 'lavender']"
107-86-8,3-methyl-2-butenal,aldehydic,fruity,nutty,aldehydic,"['aldehydic', 'fruity', 'nutty']"
1191-16-8,3-methyl-2-butenyl acetate,fruity,pear,green,fruity,"['fruity', 'pear', 'green']"
5205-11-8,3-methyl-2-butenyl benzoate,floral,fruity,green,floral,"['floral', 'fruity', 'green']"
68555-58-8,3-methyl-2-butenyl salicylate,floral,herbal,green,floral,"['floral', 'herbal', 'green']"
1193-18-6,3-methyl-2-cyclohexen-1-one,gourmand,nutty,sweet,gourmand,"['gourmand', 'nutty', 'sweet']"
13074-63-0,3-methyl-2-pentylcyclopentan-1-one,floral,fruity,jasmin,floral,"['floral', 'fruity', 'jasmin']"
5205-07-2,3-methyl-3-butenyl acetate,fruity,pear,apple,fruity,"['fruity', 'pear', 'apple']"
67801-29-0,"3-methyl-4-(2,4,6-trimethyl-3-cyclohexen-1-yl)-3-buten-2-one",herbal,fresh,celery,herbal,"['herbal', 'fresh', 'celery']"
65113-95-3,"3-methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)pent-3-en-2-one",woody,floral,violet,woody,"['woody', 'floral', 'violet']"
67801-20-1,"3-methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)pent-4-en-2-ol",woody,sandalwood,milky,woody,"['woody', 'sandalwood', 'milky']"
63314-79-4,3-methyl-5-cyclopentadecen-1-one,musk like,floral,powdery,musk like,"['musk like', 'floral', 'powdery']"
93893-89-1,3-methyl-5-phenylpent-2-enenitrile,citrus,rose,cinnamon,citrus,"['citrus', 'rose', 'cinnamon']"
54089-83-7,3-methyl-5-phenylpentanenitrile,citrus,floral,waxy,citrus,"['citrus', 'floral', 'waxy']"
55066-48-3,3-methyl-5-phenylpentanol,floral,rose,green,floral,"['floral', 'rose', 'green']"
3720-16-9,3-methyl-5-propyl-2-cyclohexen-1-one,herbal,spicy,celery,herbal,"['herbal', 'spicy', 'celery']"
3842-03-3,3-methylbutanal diethyl acetal,fruity,oily,peach,fruity,"['fruity', 'oily', 'peach']"
19329-89-6,3-methylbutyl 2-hydroxypropionate,fruity,creamy,nutty,fruity,"['fruity', 'creamy', 'nutty']"
10482-55-0,3-methylbutyl 2-methyl-2-butenoate,floral,chamomile,fruity,floral,"['floral', 'chamomile', 'fruity']"
